Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",First Tercile,Below 86000,0.24645799,0.13400329,0.05779242,0.05466227
"5-49 Units (Rent), 2 BR",Second Tercile,86000 to 114000,0.23601444,0.14752514,0.02951792,0.05897138
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 114000,0.23834362,0.12845875,0.05184149,0.05804338
"5-49 Units (Rent), 3 BR",All Values,,0.79272796,0.38159265,0.19041757,0.22071774
"5-49 Units (Rent), 3 BR",First Tercile,Below 97000,0.91801828,0.42937187,0.30610439,0.18254202
"5-49 Units (Rent), 3 BR",Second Tercile,97000 to 134000,0.72182392,0.32320046,0.13736736,0.26125609
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 134000,0.74450176,0.39288623,0.13412979,0.21748575
"50+ Units (Own), 0-1 BR",All Values,,0.02272727,0.01073232,0.0,0.01199495
"50+ Units (Own), 0-1 BR",First Tercile,Below 128000,0.08256881,0.03899083,0.0,0.04357798
"50+ Units (Own), 0-1 BR",Second Tercile,128000 to 209000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 209000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.02087757,0.0,0.0,0.02087757
"50+ Units (Own), 2 BR",First Tercile,Below 167000,0.05724299,0.0,0.0,0.05724299
"50+ Units (Own), 2 BR",Second Tercile,167000 to 290000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 290000,0.00899281,0.0,0.0,0.00899281
"50+ Units (Own), 3 BR",All Values,,0.02267574,0.0,0.02267574,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 262000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,262000 to 461000,0.09433962,0.0,0.09433962,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 461000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.00660073,0.00445936,0.00178816,0.00035322
"50+ Units (Rent), 0-1 BR",First Tercile,Below 68000,0.00344176,0.00344176,0.0,0.0
"50+ Units (Rent), 0-1 BR",Second Tercile,68000 to 116000,0.0160314,0.00957893,0.00538815,0.00106433
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 116000,0.00045316,0.00045316,0.0,0.0
"50+ Units (Rent), 2 BR",All Values,,0.0723074,0.02511199,0.01268219,0.03451322
"50+ Units (Rent), 2 BR",First Tercile,Below 107000,0.06499713,0.01548461,0.01452877,0.03498375
"50+ Units (Rent), 2 BR",Second Tercile,107000 to 169000,0.09157088,0.04099617,0.00708812,0.04348659
"50+ Units (Rent), 2 BR",Third Tercile ,Above 169000,0.06076325,0.01908114,0.01630233,0.02537977
"50+ Units (Rent), 3 BR",All Values,,0.47216891,0.28150992,0.06014075,0.13051823
"50+ Units (Rent), 3 BR",First Tercile,Below 136000,0.90149254,0.44179104,0.09850746,0.36119403
"50+ Units (Rent), 3 BR",Second Tercile,136000 to 209000,0.3511811,0.23622047,0.03307087,0.08188976
"50+ Units (Rent), 3 BR",Third Tercile ,Above 209000,0.35919056,0.23946037,0.06745363,0.05227656
All Housing Types (Own) 0-1 BR,All Values,,0.06502078,0.03266316,0.01057199,0.02178563
All Housing Types (Own) 0-1 BR,First Tercile,Below 73000,0.06435128,0.0345415,0.00927416,0.02053563
All Housing Types (Own) 0-1 BR,Second Tercile,73000 to 150000,0.06289024,0.03330015,0.01058728,0.01900281
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 150000,0.06777678,0.03024302,0.01179118,0.02574257
All Housing Types (Own) 2 BR,All Values,,0.14327249,0.06878787,0.03222574,0.04225889
All Housing Types (Own) 2 BR,First Tercile,Below 88000,0.17448251,0.08423456,0.04118762,0.04906033
All Housing Types (Own) 2 BR,Second Tercile,88000 to 159000,0.1465479,0.07255598,0.03363375,0.04035817
All Housing Types (Own) 2 BR,Third Tercile ,Above 159000,0.11132415,0.05097228,0.02261561,0.03773626
All Housing Types (Own) 3 BR,All Values,,0.36592601,0.16638417,0.08680599,0.11273585
All Housing Types (Own) 3 BR,First Tercile,Below 136000,0.39914104,0.1816847,0.09758373,0.11987261
All Housing Types (Own) 3 BR,Second Tercile,136000 to 212000,0.35768147,0.16174412,0.08524286,0.11069449
All Housing Types (Own) 3 BR,Third Tercile ,Above 212000,0.34281991,0.15657106,0.07821148,0.10803736
