Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,127000 to 177000,2.2878465,0.17377399,0.29791519,0.85370765,0.34067756,0.19687278,0.24875622,0.11513859,0.0610045,8442.0,0.22429438,1.9188822,2.6568107,0.16127142
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 177000,2.0414594,0.07865435,0.18502724,0.55247572,0.27434257,0.24153044,0.30999763,0.24591329,0.15351812,8442.0,0.20162646,1.7097838,2.3731349,0.16246982
"2-4 Units (Own/Rent), 3 BR",All Values,,2.9309146,0.21768797,0.59276998,0.90919827,0.33545466,0.34024406,0.24288151,0.18724577,0.10543236,15242.0,0.22538024,2.5601641,3.3016651,0.12649652
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 158000,2.8977884,0.21259215,0.50926479,1.0559872,0.32516438,0.40904563,0.18390118,0.15202232,0.04981072,5019.0,0.4520154,2.1542231,3.6413537,0.25659752
"2-4 Units (Own/Rent), 3 BR",Second Tercile,158000 to 210000,3.1988479,0.2171965,0.74845317,1.1017709,0.35587796,0.33518242,0.24706635,0.08790271,0.10539791,4687.0,0.42526746,2.4992829,3.8984128,0.21869279
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 210000,2.734104,0.22272399,0.53666908,0.61307803,0.32749277,0.28215318,0.29281069,0.30328757,0.15588873,5536.0,0.3210244,2.2060189,3.2621892,0.19314742
"5-49 Units (Own), 0-1 BR",All Values,,1.4592208,0.05454545,0.0,0.29974026,0.09402597,0.15116883,0.43116883,0.29766234,0.13090909,1925.0,0.38160176,0.83148589,2.0869557,0.430185
"5-49 Units (Own), 0-1 BR",First Tercile,Below 140000,1.4548673,0.0,0.0,0.37168142,0.12743363,0.16814159,0.59823009,0.09380531,0.09557522,565.0,0.58946216,0.48520201,2.4245325,0.6664974
"5-49 Units (Own), 0-1 BR",Second Tercile,140000 to 216000,1.3199195,0.0,0.0,0.36418511,0.138833,0.10462777,0.41046278,0.08651911,0.21529175,497.0,0.57526719,0.37360499,2.266234,0.71694866
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 216000,1.5422943,0.1216686,0.0,0.21552723,0.04634994,0.16685979,0.33371958,0.55272306,0.10544612,863.0,0.66926376,0.44135544,2.6432332,0.7138319
"5-49 Units (Own), 2 BR",All Values,,1.6104029,0.05128205,0.03985348,0.36307692,0.13201465,0.1978022,0.33084249,0.27267399,0.22285714,6825.0,0.18979593,1.2981886,1.9226172,0.1938734
"5-49 Units (Own), 2 BR",First Tercile,Below 154000,1.8127721,0.09917755,0.07353653,0.50991776,0.16787615,0.26850508,0.36768263,0.21335269,0.11272375,2067.0,0.39793009,1.1581771,2.4673671,0.36110165
"5-49 Units (Own), 2 BR",Second Tercile,154000 to 216000,1.5937763,0.04415475,0.05046257,0.41421362,0.20142977,0.18250631,0.26787216,0.17956266,0.25357443,2378.0,0.31389162,1.0774246,2.110128,0.32398005
"5-49 Units (Own), 2 BR",Third Tercile ,Above 216000,1.4512605,0.01680672,0.0,0.18445378,0.03151261,0.15168067,0.36176471,0.41722689,0.28781513,2380.0,0.24079436,1.0551538,1.8473672,0.27293978
"5-49 Units (Own), 3 BR",All Values,,2.0647709,0.0,0.51658768,0.35860979,0.45023697,0.02053712,0.36492891,0.3507109,0.00315956,633.0,0.80862762,0.7345785,3.3949634,0.64423245
"5-49 Units (Own), 3 BR",First Tercile,Below 212000,1.9090909,0.0,0.0,0.0,0.0,0.0,0.0,1.9090909,0.0,33.0,1.3126917,-0.25028692,4.0684687,1.1311027
"5-49 Units (Own), 3 BR",Second Tercile,212000 to 318000,2.6236162,0.0,1.1143911,0.67158672,0.50184502,0.0,0.33579336,0.0,0.0,271.0,1.7868573,-0.31576405,5.5629965,1.1203545
"5-49 Units (Own), 3 BR",Third Tercile ,Above 318000,1.6200608,0.0,0.07598784,0.13677812,0.45288754,0.03951368,0.42553191,0.48328267,0.00607903,329.0,0.74844466,0.38886933,2.8512523,0.75996621
"5-49 Units (Rent), 0-1 BR",All Values,,1.2987224,0.01465918,0.05302415,0.39889964,0.13880068,0.13488664,0.21338897,0.15940477,0.18565837,27082.0,0.08296414,1.1622464,1.4351984,0.10508482
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 86000,1.1987317,0.00554864,0.02695052,0.17506511,0.067716,0.11199185,0.19986412,0.23734571,0.3742498,8831.0,0.12084826,0.99993634,1.3975271,0.1658381
"5-49 Units (Rent), 0-1 BR",Second Tercile,86000 to 120000,1.2620411,0.01190075,0.07398675,0.38217133,0.16245649,0.14864713,0.26698103,0.11968115,0.09621646,8907.0,0.13987732,1.0319429,1.4921393,0.18232227
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 120000,1.4281892,0.02589897,0.05768408,0.6263912700000001,0.18343322,0.14340753,0.17508562,0.12360873,0.09267979,9344.0,0.15603252,1.1715157,1.6848627,0.17971953
"5-49 Units (Rent), 2 BR",All Values,,2.1044641,0.13409022,0.29454839,0.83346209,0.28806557,0.18027611,0.20137046,0.09945921,0.07319203,29771.0,0.0898648,1.9566365,2.2522917,0.07024477
"5-49 Units (Rent), 2 BR",First Tercile,Below 125000,2.1394297,0.17457645,0.36114911,0.84657477,0.25255183,0.14069241,0.21266968,0.07576555,0.07544986,9503.0,0.17278735,1.8551945,2.4236648,0.13285559
"5-49 Units (Rent), 2 BR",Second Tercile,125000 to 166000,2.093513,0.10598802,0.36027944,0.71646707,0.35758483,0.21776447,0.20309381,0.08153693,0.0507984,10020.0,0.18638159,1.7869153,2.4001107,0.14645131
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 166000,2.0827479,0.1240242,0.16852069,0.93569477,0.25302498,0.18032787,0.18920765,0.13895394,0.09299375,10248.0,0.19060648,1.7692002,2.3962955,0.15054518
"5-49 Units (Rent), 3 BR",All Values,,3.1729267,0.19040536,0.83413909,1.0751209,0.46113797,0.37262923,0.13239122,0.0792116,0.02789141,2689.0,0.55920429,2.2530357,4.0928178,0.28991878
"5-49 Units (Rent), 3 BR",First Tercile,Below 128000,2.6067416,0.09550562,0.70786517,0.73735955,0.3258427,0.31179775,0.20926966,0.14606742,0.07303371,712.0,0.91754759,1.0973758,4.1161074,0.57902394
"5-49 Units (Rent), 3 BR",Second Tercile,128000 to 184000,3.5552178,0.39007092,1.1084093,1.0314083,0.56231003,0.31104357,0.09321175,0.03546099,0.02330294,987.0,1.0171214,1.8820531,5.2283825,0.47062228
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 184000,3.1989899,0.05959596,0.65151515,1.3616162,0.45757576,0.47777778,0.11616162,0.07474747,0.0,990.0,0.80527021,1.8743204,4.5236594,0.41408993
"50+ Units (Own), 0-1 BR",All Values,,1.2529412,0.0,0.0,0.29117647,0.0,0.17941176,0.01176471,0.06764706,0.70294118,340.0,0.48039148,0.4626972,2.0431852,0.63071116
"50+ Units (Own), 0-1 BR",First Tercile,Below 124000,1.15,0.0,0.0,0.0,0.0,0.75,0.1,0.3,0.0,20.0,1.3006218,-0.98952294,3.2895229,1.8604547
"50+ Units (Own), 0-1 BR",Second Tercile,124000 to 221000,1.3099415,0.0,0.0,0.34502924,0.0,0.05263158,0.0,0.0,0.9122807,171.0,0.7891654,0.01176443,2.6081186,0.99101912
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 221000,1.2013423,0.0,0.0,0.26845638,0.0,0.24832215,0.01342282,0.11409396,0.55704698,149.0,0.60523137,0.20573668,2.1969479,0.82874432
"50+ Units (Own), 2 BR",All Values,,1.496136,0.0,0.00618238,0.32766615,0.0309119,0.08655332,0.16846986,0.4049459,0.47140649,647.0,0.42934963,0.78985587,2.2024162,0.47206947
"50+ Units (Own), 2 BR",First Tercile,Below 138000,1.3548387,0.0,0.03225806,0.41129032,0.0,0.12903226,0.19354839,0.25806452,0.33064516,124.0,0.82733699,-0.00613064,2.7158081,1.004525
"50+ Units (Own), 2 BR",Second Tercile,138000 to 254000,1.5503597,0.0,0.0,0.57913669,0.0,0.11151079,0.25179856,0.21223022,0.39568345,278.0,0.7885768,0.25315088,2.8475685,0.83671475
"50+ Units (Own), 2 BR",Third Tercile ,Above 254000,1.5061224,0.0,0.0,0.0,0.08163265,0.03673469,0.06122449,0.69795918,0.62857143,245.0,0.61973061,0.4866656,2.5255793,0.67687514
"50+ Units (Own), 3 BR",All Values,,1.3661972,0.0,0.0,0.0,0.0,0.0,0.0,1.1690141,0.1971831,71.0,1.0145368,-0.3027158,3.0351102,1.2215755
"50+ Units (Own), 3 BR",First Tercile,Below 432000,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,10.0,3.1469255,-2.9766924,7.3766924,2.353042
"50+ Units (Own), 3 BR",Second Tercile,432000 to 500000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.5249624,-1.5085631,3.5085631,2.5085631
"50+ Units (Own), 3 BR",Third Tercile ,Above 500000,1.2978723,0.0,0.0,0.0,0.0,0.0,0.0,1.2978723,0.0,47.0,1.3822662,-0.97595559,3.5717003,1.7519658
"50+ Units (Rent), 0-1 BR",All Values,,1.1830796,0.01535767,0.01010373,0.22268625,0.06291257,0.072208,0.17324532,0.22982622,0.39673986,7423.0,0.12951237,0.97003178,1.3961275,0.18007904
"50+ Units (Rent), 0-1 BR",First Tercile,Below 71000,1.0998752,0.0,0.0,0.06908032,0.04203079,0.10778194,0.15314191,0.38826467,0.33957553,2403.0,0.16830922,0.82300649,1.3767438,0.25172736
"50+ Units (Rent), 0-1 BR",Second Tercile,71000 to 143000,1.1526453,0.01214224,0.00433651,0.18993929,0.06851691,0.06374675,0.25368604,0.18863833,0.3716392,2306.0,0.22289555,0.78598209,1.5193085,0.31810583
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 143000,1.2826087,0.03168755,0.02394989,0.38651437,0.07663965,0.04789978,0.12269713,0.12453943,0.46868091,2714.0,0.26530605,0.84618024,1.7190372,0.34026626
"50+ Units (Rent), 2 BR",All Values,,1.7359402,0.0793058,0.06700351,0.73286467,0.16212654,0.14345343,0.18211775,0.10808436,0.26098418,4552.0,0.21184353,1.3874576,2.0844229,0.20074574
"50+ Units (Rent), 2 BR",First Tercile,Below 161000,1.7065527,0.03561254,0.09401709,0.60327635,0.06481481,0.07763533,0.39957265,0.08190883,0.3497151,1404.0,0.40980258,1.0324275,2.3806779,0.39502163
"50+ Units (Rent), 2 BR",Second Tercile,161000 to 219000,1.8605281,0.18144888,0.07379824,0.88490183,0.1916046,0.14353419,0.10358835,0.04468517,0.23696682,1477.0,0.41654209,1.1753164,2.5457398,0.36828884
