Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.33983512,0.21100275,0.06050973,0.06832265
"5-49 Units (Rent), 2 BR",First Tercile,Below 23000,0.41549296,0.2880773,0.07566328,0.05175237
"5-49 Units (Rent), 2 BR",Second Tercile,23000 to 52000,0.38592785,0.23448164,0.07377316,0.07767306
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 52000,0.22146372,0.11335133,0.03286236,0.07525004
"5-49 Units (Rent), 3 BR",All Values,,0.92814527,0.48741894,0.20691742,0.23380891
"5-49 Units (Rent), 3 BR",First Tercile,Below 30000,1.1106113,0.58772162,0.25218312,0.27070654
"5-49 Units (Rent), 3 BR",Second Tercile,30000 to 69000,1.0368468,0.59455643,0.22788548,0.21440493
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 69000,0.64216883,0.28279584,0.1419761,0.21739689
"50+ Units (Own), 0-1 BR",All Values,,0.04135649,0.0,0.03308519,0.0082713
"50+ Units (Own), 0-1 BR",First Tercile,Below 110000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,110000 to 167000,0.0228833,0.0,0.0,0.0228833
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 167000,0.0880088,0.0,0.0880088,0.0
"50+ Units (Own), 2 BR",All Values,,0.11784579,0.07015103,0.02225755,0.0254372
"50+ Units (Own), 2 BR",First Tercile,Below 122000,0.11355816,0.05437027,0.02271163,0.03647626
"50+ Units (Own), 2 BR",Second Tercile,122000 to 191000,0.10751509,0.08776742,0.0,0.01974767
"50+ Units (Own), 2 BR",Third Tercile ,Above 191000,0.13211845,0.06492027,0.04498861,0.02220957
"50+ Units (Own), 3 BR",All Values,,0.25331384,0.08011696,0.06676413,0.10643275
"50+ Units (Own), 3 BR",First Tercile,Below 115000,0.28910703,0.09753008,0.05921469,0.13236225
"50+ Units (Own), 3 BR",Second Tercile,115000 to 175000,0.21551968,0.06372133,0.06627018,0.08552818
"50+ Units (Own), 3 BR",Third Tercile ,Above 175000,0.25903108,0.08092971,0.07392887,0.1041725
"50+ Units (Rent), 0-1 BR",All Values,,0.00285346,0.0,0.00285346,0.0
"50+ Units (Rent), 0-1 BR",First Tercile,Below 18000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",Second Tercile,18000 to 36000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 36000,0.00839426,0.0,0.00839426,0.0
"50+ Units (Rent), 2 BR",All Values,,0.24481086,0.12085354,0.07487876,0.04907856
"50+ Units (Rent), 2 BR",First Tercile,Below 41000,0.3710542,0.18939845,0.13817749,0.04347826
"50+ Units (Rent), 2 BR",Second Tercile,41000 to 95000,0.20605701,0.08491686,0.03206651,0.08907363
"50+ Units (Rent), 2 BR",Third Tercile ,Above 95000,0.16294643,0.09040179,0.05580357,0.01674107
"50+ Units (Rent), 3 BR",All Values,,0.51600474,0.22465916,0.13411381,0.15723177
"50+ Units (Rent), 3 BR",First Tercile,Below 51000,0.87413235,0.42341509,0.21795465,0.23276261
"50+ Units (Rent), 3 BR",Second Tercile,51000 to 105000,0.39392606,0.13908451,0.09198944,0.16285211
