Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",    Above Median,120000,1.4743659,0.03103076,0.04492715,0.87385321,0.17593092,0.16702644,0.07298975,0.0767674,0.03184026
"5-49 Units (Rent), 2 BR","5-49 Units (Rent), 2 BR",,2.3253908,0.17499047,0.3910122,0.82643919,0.32129241,0.22874571,0.1752764,0.11604079,0.0915936
"5-49 Units (Rent), 2 BR",    Below Median,143000,2.4214775,0.23833662,0.41725336,0.85384399,0.28433305,0.17854126,0.20247818,0.12766357,0.1190275
"5-49 Units (Rent), 2 BR",    Above Median,143000,2.2263092,0.10966993,0.36395315,0.79818023,0.35940374,0.28051495,0.14722679,0.10405575,0.06330462
"5-49 Units (Rent), 3 BR","5-49 Units (Rent), 3 BR",,3.2508929,0.31107143,0.94125,0.90875,0.54571429,0.30178571,0.1825,0.03946429,0.02035714
"5-49 Units (Rent), 3 BR",    Below Median,154000,3.3612218,0.27257636,1.1035857,0.8997344,0.55976096,0.24568393,0.22875166,0.02788845,0.02324037
"5-49 Units (Rent), 3 BR",    Above Median,154000,3.1224884,0.35587326,0.75231839,0.91924266,0.52936631,0.36707883,0.12867079,0.05293663,0.01700155
"50+ Units (Own), 0-1 BR","50+ Units (Own), 0-1 BR",,1.1646859,0.0,0.0,0.11035654,0.22750424,0.16808149,0.19864177,0.30050934,0.15959253
"50+ Units (Own), 0-1 BR",    Below Median,280000,1.1260274,0.0,0.0,0.12328767,0.16712329,0.03013699,0.30410959,0.38082192,0.12054795
"50+ Units (Own), 0-1 BR",    Above Median,280000,1.2276786,0.0,0.0,0.08928571,0.32589286,0.39285714,0.02678571,0.16964286,0.22321429
"50+ Units (Own), 2 BR","50+ Units (Own), 2 BR",,1.5480896,0.01317523,0.02766798,0.09552042,0.22134387,0.30500659,0.40316206,0.29644269,0.18577075
"50+ Units (Own), 2 BR",    Below Median,300000,1.5509737,0.02290951,0.04810997,0.10882016,0.24627721,0.3997709,0.28865979,0.27835052,0.1580756
"50+ Units (Own), 2 BR",    Above Median,300000,1.544186,0.0,0.0,0.07751938,0.1875969,0.17674419,0.55813953,0.32093023,0.22325581
"50+ Units (Own), 3 BR","50+ Units (Own), 3 BR",,2.3242574,0.0,0.14356436,0.65346535,0.13118812,0.28960396,0.37376238,0.60891089,0.12376238
"50+ Units (Own), 3 BR",    Below Median,650000,2.4809689,0.0,0.20069204,0.87197232,0.12456747,0.28719723,0.33217993,0.57093426,0.09342561
"50+ Units (Own), 3 BR",    Above Median,650000,1.9304348,0.0,0.0,0.10434783,0.14782609,0.29565217,0.47826087,0.70434783,0.2
"50+ Units (Rent), 0-1 BR","50+ Units (Rent), 0-1 BR",,1.2554967,0.01048453,0.02799267,0.49603013,0.16978827,0.10087541,0.12510179,0.14841205,0.17681189
"50+ Units (Rent), 0-1 BR",    Below Median,121000,1.1466822,0.00756694,0.02231277,0.27473807,0.11874272,0.10205666,0.17384556,0.23884362,0.20857586
"50+ Units (Rent), 0-1 BR",    Above Median,121000,1.3755889,0.0137045,0.03426124,0.74025696,0.2261242,0.09957173,0.07130621,0.04860814,0.14175589
"50+ Units (Rent), 2 BR","50+ Units (Rent), 2 BR",,1.9677151,0.08107547,0.21696252,0.66957334,0.2441607,0.18260147,0.2188311,0.20263677,0.15187377
"50+ Units (Rent), 2 BR",    Below Median,153000,1.97361,0.09347301,0.25503626,0.63275584,0.16518936,0.18573731,0.1804996,0.26067687,0.20024174
"50+ Units (Rent), 2 BR",    Above Median,153000,1.9614478,0.06789462,0.17648319,0.70871707,0.32812165,0.17926751,0.25958449,0.14092954,0.10044978
"50+ Units (Rent), 3 BR","50+ Units (Rent), 3 BR",,3.9106345,0.16979446,1.1671135,0.95710456,0.4772118,0.51385165,0.29579982,0.28954424,0.04021448
"50+ Units (Rent), 3 BR",    Below Median,180000,4.0602582,0.27259684,1.1205165,1.010043,0.48063128,0.44332855,0.38593974,0.31276901,0.03443329
"50+ Units (Rent), 3 BR",    Above Median,180000,3.6635071,0.0,1.2440758,0.86966825,0.47156398,0.63033175,0.14691943,0.25118483,0.04976303
All Housing Types (Own) 0-1 BR,All Housing Types (Own) 0-1 BR,,1.8017123,0.06986301,0.11815068,0.37842466,0.28767123,0.19383562,0.23664384,0.32431507,0.19280822
All Housing Types (Own) 0-1 BR,    Below Median,240000,1.8565916,0.10546624,0.13440514,0.45337621,0.22315113,0.1755627,0.30096463,0.32861736,0.13504823
All Housing Types (Own) 0-1 BR,    Above Median,240000,1.7391941,0.02930403,0.0996337,0.29304029,0.36117216,0.21465201,0.16336996,0.31941392,0.25860806
All Housing Types (Own) 2 BR,All Housing Types (Own) 2 BR,,1.7984689,0.02229665,0.06730463,0.21559809,0.14430622,0.18736842,0.31046252,0.50258373,0.34854864
All Housing Types (Own) 2 BR,    Below Median,295000,1.7896035,0.03206223,0.08518308,0.27768292,0.1672042,0.23322583,0.30601404,0.38866755,0.29956365
