Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,160000,2.1245153,0.04006894,0.25764757,0.40973718,0.2473072,0.316243,0.30676433,0.2455838,0.30116329
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3793103,0.05971405,0.03167928,0.45360247,0.16400336,0.12195122,0.20885899,0.26829268,0.0712083
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,62000,1.2694301,0.01709845,0.00673575,0.09689119,0.17564767,0.10518135,0.31502591,0.45025907,0.10259067
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,62000,1.5088577,0.10995724,0.06108735,0.87416005,0.15027489,0.14172266,0.08368968,0.05375687,0.03420892
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9674453,0.18638171,0.22278827,0.66898608,0.23620775,0.18600895,0.1959493,0.15096918,0.12015408
"2-4 Units  (Own/Rent), 2 BR",    Below Median,88000,1.9944175,0.16941748,0.22815534,0.74854369,0.15776699,0.18883495,0.17208738,0.19296117,0.13665049
"2-4 Units  (Own/Rent), 2 BR",    Above Median,88000,1.9391548,0.20417515,0.21715886,0.58553971,0.31848269,0.18304481,0.2209776,0.10692464,0.10285132
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0107349,0.41907514,0.49710983,1.0474814,0.36044591,0.31379026,0.12469034,0.12180017,0.12634187
"2-4 Units (Own/Rent), 3 BR",    Below Median,122000,3.2405063,0.65599404,0.62174237,0.81459419,0.50260611,0.35368578,0.10349963,0.05510052,0.13328369
"2-4 Units (Own/Rent), 3 BR",    Above Median,122000,2.7247451,0.12418906,0.34198332,1.3373494,0.18350324,0.26413346,0.1510658,0.20481928,0.11770158
"5-49 Units (Own), 0-1 BR",All Values,,3.1081081,0.0,0.0,2.4594595,0.0,0.0,0.0,0.64864865,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,150000,3.1081081,0.0,0.0,2.4594595,0.0,0.0,0.0,0.64864865,0.0
"5-49 Units (Own), 2 BR",All Values,,1.5820896,0.0,0.10583446,0.60515604,0.11397558,0.0936228,0.13704206,0.43554953,0.09090909
"5-49 Units (Own), 2 BR",    Below Median,155000,1.8474576,0.0,0.16525424,0.79872881,0.1779661,0.0,0.12711864,0.57838983,0.0
"5-49 Units (Own), 2 BR",    Above Median,155000,1.109434,0.0,0.0,0.26037736,0.0,0.26037736,0.15471698,0.18113208,0.25283019
"5-49 Units (Own), 3 BR",All Values,,2.0954598,0.0,0.31315483,0.54947614,0.16065192,0.13038417,0.33178114,0.29685681,0.31315483
"5-49 Units (Own), 3 BR",    Below Median,175000,2.1428571,0.0,0.46299484,0.70223752,0.23752151,0.04819277,0.39242685,0.16351119,0.13597246
"5-49 Units (Own), 3 BR",    Above Median,175000,1.9964029,0.0,0.0,0.23021583,0.0,0.30215827,0.20503597,0.57553957,0.68345324
"5-49 Units (Rent), 0-1 BR",All Values,,1.2563353,0.03098023,0.01169591,0.62962963,0.15392648,0.10867446,0.11995266,0.12399053,0.07748538
"5-49 Units (Rent), 0-1 BR",    Below Median,96000,1.1722836,0.00984093,0.00107846,0.47317336,0.15125371,0.11876517,0.18967377,0.1641952,0.06430305
"5-49 Units (Rent), 0-1 BR",    Above Median,96000,1.3460985,0.053556,0.02303484,0.79671754,0.15678088,0.09789807,0.04549381,0.08105384,0.09156349
"5-49 Units (Rent), 2 BR",All Values,,1.8969522,0.16155729,0.15479422,0.95123471,0.21272525,0.12231368,0.13944383,0.09646274,0.05842047
"5-49 Units (Rent), 2 BR",    Below Median,103000,1.9265324,0.23362522,0.20411559,0.84299475,0.20035026,0.13511384,0.12031524,0.13196147,0.05805604
"5-49 Units (Rent), 2 BR",    Above Median,103000,1.8663953,0.08710991,0.10384441,1.0630484,0.22550882,0.10909091,0.15920398,0.05979195,0.05879692
"5-49 Units (Rent), 3 BR",All Values,,3.2810423,0.31739414,0.93302932,1.077785,0.4704886,0.28521173,0.07452769,0.05172638,0.07087948
"5-49 Units (Rent), 3 BR",    Below Median,119000,3.0479086,0.24562257,1.1220817,0.9036965,0.4530642,0.18652724,0.05107004,0.02213035,0.06371595
"5-49 Units (Rent), 3 BR",    Above Median,119000,3.5500982,0.40022453,0.71484704,1.2786977,0.49059781,0.39910188,0.10159978,0.08588268,0.07914679
"50+ Units (Own), 0-1 BR",All Values,,1.3212435,0.0,0.0,0.48186528,0.06217617,0.0,0.45595855,0.03626943,0.28497409
"50+ Units (Own), 0-1 BR",    Below Median,185000,1.1610738,0.0,0.0,0.62416107,0.08053691,0.0,0.08724832,0.0,0.36912752
"50+ Units (Own), 0-1 BR",    Above Median,185000,1.8636364,0.0,0.0,0.0,0.0,0.0,1.7045455,0.15909091,0.0
"50+ Units (Own), 2 BR",All Values,,1.4199134,0.0,0.0,0.62770563,0.0,0.0,0.45454545,0.28138528,0.05627706
"50+ Units (Own), 2 BR",    Below Median,160000,1.3717277,0.0,0.0,0.69109948,0.0,0.0,0.45549738,0.15706806,0.06806283
"50+ Units (Own), 2 BR",    Above Median,160000,1.65,0.0,0.0,0.325,0.0,0.0,0.45,0.875,0.0
"50+ Units (Own), 3 BR",All Values,,2.5532646,0.0,0.0,0.18213058,0.10996564,0.0,0.94845361,0.37457045,0.93814433
"50+ Units (Own), 3 BR",    Below Median,750000,2.6538462,0.0,0.0,0.17094017,0.1025641,0.0,1.0384615,0.35897436,0.98290598
"50+ Units (Own), 3 BR",    Above Median,750000,2.1403509,0.0,0.0,0.22807018,0.14035088,0.0,0.57894737,0.43859649,0.75438596
