Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",First Tercile,Below 151000,0.0230179,0.0,0.0,0.0230179,391.0,0.02195516,-0.01309833,0.05913414,1.5690498
"5-49 Units (Own), 2 BR",Second Tercile,151000 to 262000,0.0,0.0,0.0,0.0,216.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 262000,0.05006588,0.0,0.05006588,0.0,759.0,0.05393643,-0.03865955,0.1387913,1.7721736
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,94.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 272000,0.0,0.0,0.0,0.0,94.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.02505327,0.00783275,0.01434084,0.00287969,17363.0,0.01049647,0.00778658,0.04231997,0.68919926
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 57000,0.0,0.0,0.0,0.0,5670.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",Second Tercile,57000 to 82000,0.0460429,0.0,0.0460429,0.0,5408.0,0.02474154,0.00534306,0.08674273,0.88395466
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 82000,0.02959427,0.02163882,0.0,0.00795545,6285.0,0.0199445,-0.00321443,0.06240297,1.1086166
"5-49 Units (Rent), 2 BR",All Values,,0.18153251,0.09398115,0.04486343,0.04268794,20685.0,0.02593191,0.13887451,0.22419051,0.23498819
"5-49 Units (Rent), 2 BR",First Tercile,Below 81000,0.17782233,0.08760025,0.03315854,0.05706354,6484.0,0.04922755,0.09684301,0.25880166,0.45539458
"5-49 Units (Rent), 2 BR",Second Tercile,81000 to 101000,0.1688876,0.09501738,0.05098494,0.02288528,6904.0,0.04299814,0.09815565,0.23961955,0.41881078
