Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",All Values,,0.03523785,0.02105676,0.00343784,0.01074325,53522.0,0.00693987,0.02382175,0.04665394,0.32397246
"5-49 Units (Rent), 0-1 BR",    Below Median,111000,0.03799509,0.02619719,0.00410362,0.00769428,27293.0,0.00894468,0.0232811,0.05270908,0.38726041
"5-49 Units (Rent), 0-1 BR",    Above Median,111000,0.03236875,0.0157078,0.00274505,0.01391589,26229.0,0.01000112,0.01591691,0.04882059,0.50826304
"5-49 Units (Rent), 2 BR",All Values,,0.23597766,0.12582474,0.05660988,0.05354304,71083.0,0.01974026,0.20350493,0.26845039,0.13760932
"5-49 Units (Rent), 2 BR",    Below Median,131000,0.28860589,0.15526693,0.07964353,0.05369543,35571.0,0.03082383,0.23790069,0.33931108,0.1756901
"5-49 Units (Rent), 2 BR",    Above Median,131000,0.183262,0.09633363,0.03353796,0.0533904,35512.0,0.02107275,0.14859732,0.21792668,0.18915367
"5-49 Units (Rent), 3 BR",All Values,,0.69719366,0.35320922,0.17421506,0.16976938,17995.0,0.07628396,0.57170654,0.82268079,0.1799889
"5-49 Units (Rent), 3 BR",    Below Median,144000,0.79564837,0.44073912,0.21703477,0.13787448,9146.0,0.1128886,0.60994662,0.98135012,0.23339676
"5-49 Units (Rent), 3 BR",    Above Median,144000,0.59543451,0.26274155,0.12995819,0.20273477,8849.0,0.10030204,0.43043765,0.76043137,0.27710329
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1135.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,265000,0.0,0.0,0.0,0.0,731.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,265000,0.0,0.0,0.0,0.0,404.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,1886.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,330000,0.0,0.0,0.0,0.0,1077.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,330000,0.0,0.0,0.0,0.0,809.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.07734807,0.0,0.0,0.07734807,362.0,0.0619493,-0.02455853,0.17925467,1.3175068
"50+ Units (Own), 3 BR",    Below Median,600000,0.04494382,0.0,0.0,0.04494382,267.0,0.04723769,-0.03276218,0.12264982,1.7289585
"50+ Units (Own), 3 BR",    Above Median,600000,0.16842105,0.0,0.0,0.16842105,95.0,0.1921779,-0.14771159,0.4845537,1.8770376
"50+ Units (Rent), 0-1 BR",All Values,,0.00826421,0.00598765,0.0,0.00227655,32066.0,0.00428016,0.00122334,0.01530507,0.85197181
"50+ Units (Rent), 0-1 BR",    Below Median,144000,0.01097742,0.00645001,0.0,0.00452741,16124.0,0.0071672,-0.00081262,0.02276747,1.0740267
"50+ Units (Rent), 0-1 BR",    Above Median,144000,0.00552001,0.00552001,0.0,0.0,15942.0,0.00534617,-0.00327444,0.01431446,1.5931941
"50+ Units (Rent), 2 BR",All Values,,0.10410128,0.06862067,0.01414969,0.02133092,18799.0,0.01529796,0.07893614,0.12926643,0.24173715
"50+ Units (Rent), 2 BR",    Below Median,174000,0.11319379,0.07737165,0.01322503,0.02259711,9603.0,0.02319877,0.07503181,0.15135577,0.33713845
"50+ Units (Rent), 2 BR",    Above Median,174000,0.09460635,0.05948238,0.01511527,0.0200087,9196.0,0.02588674,0.05202266,0.13719004,0.45011448
"50+ Units (Rent), 3 BR",All Values,,0.55584708,0.41716642,0.0982009,0.04047976,2668.0,0.14034221,0.32498415,0.78671001,0.41533533
"50+ Units (Rent), 3 BR",    Below Median,187000,0.63255153,0.41293532,0.16915423,0.05046198,1407.0,0.22619441,0.26046173,1.0046413,0.58823634
"50+ Units (Rent), 3 BR",    Above Median,187000,0.4702617,0.42188739,0.01903251,0.02934179,1261.0,0.20577145,0.13176766,0.80875573,0.71979928
All Housing Types (Own) 0-1 BR,All Values,,0.17991083,0.08707055,0.067401,0.02543929,7626.0,0.05408076,0.09094798,0.26887368,0.49448302
All Housing Types (Own) 0-1 BR,    Below Median,200000,0.18879566,0.09205331,0.08267522,0.01406713,4052.0,0.08316,0.05199745,0.32559386,0.72458342
All Housing Types (Own) 0-1 BR,    Above Median,200000,0.16983772,0.08142138,0.05008394,0.0383324,3574.0,0.06565097,0.06184188,0.27783356,0.63587667
All Housing Types (Own) 2 BR,All Values,,0.10653246,0.03938391,0.02609268,0.04105587,59212.0,0.01228396,0.08632534,0.12673958,0.1896804
All Housing Types (Own) 2 BR,    Below Median,200000,0.12252065,0.0381739,0.02965468,0.05469207,30754.0,0.01967221,0.09015987,0.15488143,0.26412509
All Housing Types (Own) 2 BR,    Above Median,200000,0.08925434,0.04069155,0.02224331,0.02631949,28458.0,0.01492434,0.0647038,0.11380488,0.2750627
All Housing Types (Own) 3 BR,All Values,,0.33477047,0.13899725,0.08437829,0.11139493,387576.0,0.00786207,0.32183736,0.34770358,0.03863277
All Housing Types (Own) 3 BR,    Below Median,230000,0.37816066,0.15727173,0.09749689,0.12339204,196755.0,0.01193158,0.35853322,0.3977881,0.05190239
All Housing Types (Own) 3 BR,    Above Median,230000,0.29003097,0.12015449,0.07085174,0.09902474,190821.0,0.00925255,0.27481052,0.30525142,0.05247872
All Housing Types (Own) 4-5 BR,All Values,,0.69235019,0.27868639,0.17816218,0.23550162,314949.0,0.01245829,0.67185631,0.71284407,0.02960046
