Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",    Above Median,149000,0.05973223,0.01647786,0.02506008,0.0181943
"50+ Units (Rent), 3 BR",All Values,,0.152019,0.0391924,0.02494062,0.08788599
"50+ Units (Rent), 3 BR",    Below Median,166000,0.24242424,0.06666667,0.04242424,0.13333333
"50+ Units (Rent), 3 BR",    Above Median,166000,0.02305476,0.0,0.0,0.02305476
All Housing Types (Own) 0-1 BR,All Values,,0.04316279,0.02883721,0.0,0.01432558
All Housing Types (Own) 0-1 BR,    Below Median,120000,0.04408677,0.0423373,0.0,0.00174948
All Housing Types (Own) 0-1 BR,    Above Median,120000,0.04211363,0.01350814,0.0,0.02860548
All Housing Types (Own) 2 BR,All Values,,0.08464311,0.0462952,0.01456511,0.02378279
All Housing Types (Own) 2 BR,    Below Median,180000,0.11008283,0.06969437,0.01673807,0.02365039
All Housing Types (Own) 2 BR,    Above Median,180000,0.0573946,0.02123233,0.01223766,0.02392462
All Housing Types (Own) 3 BR,All Values,,0.35811382,0.15960632,0.0869142,0.11159329
All Housing Types (Own) 3 BR,    Below Median,200000,0.38413174,0.17222078,0.09407706,0.1178339
All Housing Types (Own) 3 BR,    Above Median,200000,0.33001026,0.14598068,0.07917715,0.10485243
All Housing Types (Own) 4-5 BR,All Values,,0.73182117,0.29920766,0.18247944,0.25013407
All Housing Types (Own) 4-5 BR,    Below Median,320000,0.7725272,0.31964257,0.19382002,0.25906461
All Housing Types (Own) 4-5 BR,    Above Median,320000,0.68892715,0.27767436,0.17052929,0.2407235
All Housing Types (Rent) 0-1 BR,All Values,,0.01366285,0.0057981,0.00287035,0.0049944
All Housing Types (Rent) 0-1 BR,    Below Median,90000,0.01637487,0.01144541,0.00016998,0.00475948
All Housing Types (Rent) 0-1 BR,    Above Median,90000,0.01087842,0.0,0.00564282,0.0052356
All Housing Types (Rent) 2 BR,All Values,,0.16515815,0.07926165,0.03561031,0.05028619
All Housing Types (Rent) 2 BR,    Below Median,99000,0.16595327,0.08285883,0.0268604,0.05623405
All Housing Types (Rent) 2 BR,    Above Median,99000,0.16434908,0.07560137,0.04451371,0.044234
All Housing Types (Rent) 3 BR,All Values,,0.6433143,0.35093703,0.14789407,0.14448319
All Housing Types (Rent) 3 BR,    Below Median,116000,0.63303803,0.36176875,0.14388269,0.12738659
All Housing Types (Rent) 3 BR,    Above Median,116000,0.65366567,0.34002616,0.15193476,0.16170475
All Housing Types (Rent) 4-5 BR,All Values,,0.8711312,0.41796768,0.21788551,0.23527801
All Housing Types (Rent) 4-5 BR,    Below Median,151000,0.87473517,0.42876059,0.24179025,0.20418432
All Housing Types (Rent) 4-5 BR,    Above Median,151000,0.8672717,0.40640953,0.19228588,0.26857629
