Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.37473709,0.19316853,0.08358999,0.09797857
"5-49 Units (Rent), 2 BR",First Tercile,Below 111000,0.33885884,0.18164955,0.07648196,0.08072733
"5-49 Units (Rent), 2 BR",Second Tercile,111000 to 148000,0.47951626,0.24285495,0.11204761,0.12461369
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 148000,0.30528445,0.15488173,0.06215883,0.0882439
"5-49 Units (Rent), 3 BR",All Values,,0.77874142,0.36933859,0.17693094,0.23247189
"5-49 Units (Rent), 3 BR",First Tercile,Below 119000,0.87540588,0.46108173,0.17905186,0.23527229
"5-49 Units (Rent), 3 BR",Second Tercile,119000 to 173000,0.88512035,0.38890759,0.20855075,0.28766201
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 173000,0.57967887,0.26389848,0.14252417,0.17325622
"50+ Units (Own), 0-1 BR",All Values,,0.0216657,0.01545811,0.00106503,0.00514256
"50+ Units (Own), 0-1 BR",First Tercile,Below 170000,0.03439465,0.03085692,0.0,0.00353774
"50+ Units (Own), 0-1 BR",Second Tercile,170000 to 283000,0.02239396,0.01703697,0.0,0.00535699
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 283000,0.00946903,0.0,0.00309735,0.00637168
"50+ Units (Own), 2 BR",All Values,,0.07758131,0.04631752,0.01328764,0.01797616
"50+ Units (Own), 2 BR",First Tercile,Below 230000,0.13231207,0.07200569,0.01641781,0.04388857
"50+ Units (Own), 2 BR",Second Tercile,230000 to 424000,0.05924479,0.0360026,0.01614583,0.00709635
"50+ Units (Own), 2 BR",Third Tercile ,Above 424000,0.04380827,0.03203443,0.00776954,0.0040043
"50+ Units (Own), 3 BR",All Values,,0.21745868,0.13842975,0.03243802,0.04659091
"50+ Units (Own), 3 BR",First Tercile,Below 332000,0.08920815,0.0517875,0.00300702,0.03441363
"50+ Units (Own), 3 BR",Second Tercile,332000 to 800000,0.24796616,0.11226814,0.03156525,0.10413277
"50+ Units (Own), 3 BR",Third Tercile ,Above 800000,0.29773105,0.23242944,0.05755396,0.00774765
"50+ Units (Rent), 0-1 BR",All Values,,0.01205056,0.00633975,0.00247552,0.00323529
"50+ Units (Rent), 0-1 BR",First Tercile,Below 83000,0.00621421,0.00141647,0.00176678,0.00303095
"50+ Units (Rent), 0-1 BR",Second Tercile,83000 to 175000,0.01911001,0.00879091,0.0036011,0.00671801
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 175000,0.01080613,0.0087464,0.00205973,0.0
"50+ Units (Rent), 2 BR",All Values,,0.19208277,0.10483287,0.04118993,0.04605997
"50+ Units (Rent), 2 BR",First Tercile,Below 135000,0.25974258,0.14259325,0.04194971,0.07519962
"50+ Units (Rent), 2 BR",Second Tercile,135000 to 238000,0.22889884,0.12192426,0.05689023,0.05008435
"50+ Units (Rent), 2 BR",Third Tercile ,Above 238000,0.08900676,0.05076941,0.02471439,0.01352297
"50+ Units (Rent), 3 BR",All Values,,0.85594782,0.37204027,0.18148306,0.3024245
"50+ Units (Rent), 3 BR",First Tercile,Below 136000,1.4459578,0.69288225,0.31678383,0.43629174
"50+ Units (Rent), 3 BR",Second Tercile,136000 to 235000,0.77708703,0.24866785,0.14076377,0.38765542
"50+ Units (Rent), 3 BR",Third Tercile ,Above 235000,0.39445545,0.19287129,0.09584158,0.10574257
All Housing Types (Own) 0-1 BR,All Values,,0.08911775,0.03947891,0.02191729,0.02772155
All Housing Types (Own) 0-1 BR,First Tercile,Below 105000,0.08458561,0.03819307,0.01889841,0.02749413
All Housing Types (Own) 0-1 BR,Second Tercile,105000 to 221000,0.1158058,0.05606254,0.02631259,0.03343067
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 221000,0.06836243,0.02515168,0.02062267,0.02258809
All Housing Types (Own) 2 BR,All Values,,0.16854913,0.07757204,0.038185,0.05279209
All Housing Types (Own) 2 BR,First Tercile,Below 120000,0.16643494,0.07629349,0.03792429,0.05221716
All Housing Types (Own) 2 BR,Second Tercile,120000 to 221000,0.17562295,0.08461349,0.03508168,0.05592777
All Housing Types (Own) 2 BR,Third Tercile ,Above 221000,0.16374219,0.07202659,0.04138787,0.05032772
All Housing Types (Own) 3 BR,All Values,,0.40123411,0.17351855,0.0958844,0.13183117
All Housing Types (Own) 3 BR,First Tercile,Below 156000,0.39022132,0.16336594,0.09510422,0.13175116
All Housing Types (Own) 3 BR,Second Tercile,156000 to 265000,0.41215894,0.17899839,0.09743973,0.13572082
All Housing Types (Own) 3 BR,Third Tercile ,Above 265000,0.40109608,0.17785473,0.09511506,0.1281263
All Housing Types (Own) 4-5 BR,All Values,,0.74108336,0.3115352,0.17884196,0.2507062
All Housing Types (Own) 4-5 BR,First Tercile,Below 240000,0.71307929,0.28870728,0.16965061,0.2547214
All Housing Types (Own) 4-5 BR,Second Tercile,240000 to 400000,0.72682006,0.30684999,0.17974204,0.24022803
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 400000,0.78173357,0.33800953,0.18682716,0.25689688
All Housing Types (Rent) 0-1 BR,All Values,,0.05847446,0.03089952,0.01222302,0.01535192
All Housing Types (Rent) 0-1 BR,First Tercile,Below 84000,0.02637587,0.01471636,0.00508363,0.00657587
All Housing Types (Rent) 0-1 BR,Second Tercile,84000 to 128000,0.09931358,0.05147059,0.02200452,0.02583847
