Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",    Below Median,165000,0.17080931,0.07993637,0.02008352,0.07078942
"50+ Units (Rent), 2 BR",    Above Median,165000,0.10911345,0.0677826,0.03740442,0.00392643
"50+ Units (Rent), 3 BR",All Values,,0.72479901,0.29375387,0.23500309,0.19604205
"50+ Units (Rent), 3 BR",    Below Median,156000,0.5186722,0.16078838,0.18879668,0.16908714
"50+ Units (Rent), 3 BR",    Above Median,156000,1.0290965,0.49004594,0.30321593,0.23583461
All Housing Types (Own) 0-1 BR,All Values,,0.14311243,0.08622487,0.01697692,0.03991065
All Housing Types (Own) 0-1 BR,    Below Median,199000,0.18805884,0.14594751,0.01471012,0.02740121
All Housing Types (Own) 0-1 BR,    Above Median,199000,0.09513547,0.02247537,0.01939655,0.05326355
All Housing Types (Own) 2 BR,All Values,,0.12239024,0.05380488,0.03360976,0.03497561
All Housing Types (Own) 2 BR,    Below Median,200000,0.13310342,0.05811623,0.04119868,0.03378851
All Housing Types (Own) 2 BR,    Above Median,200000,0.11062785,0.04907128,0.02527759,0.03627897
All Housing Types (Own) 3 BR,All Values,,0.43658965,0.19780426,0.10748097,0.13130442
All Housing Types (Own) 3 BR,    Below Median,240000,0.47917045,0.22810873,0.11536809,0.13569363
All Housing Types (Own) 3 BR,    Above Median,240000,0.39104383,0.16538961,0.09904464,0.12660957
All Housing Types (Own) 4-5 BR,All Values,,0.8325681,0.35945205,0.19974807,0.27336797
All Housing Types (Own) 4-5 BR,    Below Median,375000,0.88649478,0.37338244,0.22552486,0.28758748
All Housing Types (Own) 4-5 BR,    Above Median,375000,0.77576463,0.34477853,0.17259618,0.25838991
All Housing Types (Rent) 0-1 BR,All Values,,0.03339785,0.01508927,0.0112972,0.00701138
All Housing Types (Rent) 0-1 BR,    Below Median,120000,0.02891463,0.0143595,0.0115815,0.00297363
All Housing Types (Rent) 0-1 BR,    Above Median,120000,0.03796762,0.01583313,0.01100742,0.01112706
All Housing Types (Rent) 2 BR,All Values,,0.25941181,0.14925352,0.04121798,0.06894031
All Housing Types (Rent) 2 BR,    Below Median,121000,0.26846197,0.15330372,0.04872293,0.06643531
All Housing Types (Rent) 2 BR,    Above Median,121000,0.25012815,0.14509882,0.03351939,0.07150994
All Housing Types (Rent) 3 BR,All Values,,0.74393363,0.34502379,0.20155873,0.19735112
All Housing Types (Rent) 3 BR,    Below Median,143000,0.80394186,0.38167364,0.21200433,0.21026389
All Housing Types (Rent) 3 BR,    Above Median,143000,0.68191541,0.30714633,0.19076325,0.18400583
All Housing Types (Rent) 4-5 BR,All Values,,1.0219259,0.46622761,0.27877279,0.27692555
All Housing Types (Rent) 4-5 BR,    Below Median,189000,0.91873016,0.41444444,0.24460317,0.25968254
All Housing Types (Rent) 4-5 BR,    Above Median,189000,1.1276215,0.51926516,0.31377012,0.29458625
