Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 124000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,124000 to 248000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 248000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.01297405,0.01297405,0.0,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,150000 to 220000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 220000,0.0325,0.0325,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 408000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,408000 to 837000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 837000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.02155561,0.01170644,0.00748537,0.0023638
"50+ Units (Rent), 0-1 BR",First Tercile,Below 51000,0.0012385,0.0,0.0012385,0.0
"50+ Units (Rent), 0-1 BR",Second Tercile,51000 to 106000,0.05081099,0.03012248,0.01506124,0.00562728
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 106000,0.01135989,0.00428054,0.00576227,0.00131709
"50+ Units (Rent), 2 BR",All Values,,0.15448635,0.07065453,0.05106199,0.03276983
"50+ Units (Rent), 2 BR",First Tercile,Below 95000,0.1395224,0.06922458,0.04185672,0.02844111
"50+ Units (Rent), 2 BR",Second Tercile,95000 to 132000,0.22889402,0.11111111,0.08211445,0.03566846
"50+ Units (Rent), 2 BR",Third Tercile ,Above 132000,0.09460496,0.03170545,0.02889287,0.03400665
"50+ Units (Rent), 3 BR",All Values,,0.61231203,0.20817669,0.16447368,0.23966165
"50+ Units (Rent), 3 BR",First Tercile,Below 91000,0.91394148,0.40447504,0.36316695,0.14629948
"50+ Units (Rent), 3 BR",Second Tercile,91000 to 140000,0.45131579,0.10657895,0.13289474,0.21184211
"50+ Units (Rent), 3 BR",Third Tercile ,Above 140000,0.54510801,0.1613723,0.04828463,0.33545108
All Housing Types (Own) 0-1 BR,All Values,,0.0962281,0.0529403,0.01967627,0.02361152
All Housing Types (Own) 0-1 BR,First Tercile,Below 65000,0.0555422,0.03823034,0.0,0.01731185
All Housing Types (Own) 0-1 BR,Second Tercile,65000 to 147000,0.07251663,0.0283201,0.02488736,0.01930916
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 147000,0.15641136,0.09079174,0.0320568,0.03356282
All Housing Types (Own) 2 BR,All Values,,0.09841578,0.04777693,0.01943137,0.03120748
All Housing Types (Own) 2 BR,First Tercile,Below 80000,0.13823055,0.06400231,0.02759799,0.04663025
All Housing Types (Own) 2 BR,Second Tercile,80000 to 152000,0.09112947,0.05118972,0.01838123,0.02155852
All Housing Types (Own) 2 BR,Third Tercile ,Above 152000,0.06772972,0.02908568,0.01270645,0.02593759
All Housing Types (Own) 3 BR,All Values,,0.27091924,0.11457736,0.06518329,0.09115859
All Housing Types (Own) 3 BR,First Tercile,Below 122000,0.28240238,0.12047298,0.06696394,0.09496545
All Housing Types (Own) 3 BR,Second Tercile,122000 to 200000,0.28496927,0.12032596,0.06916009,0.09548322
All Housing Types (Own) 3 BR,Third Tercile ,Above 200000,0.24603563,0.10327757,0.05951312,0.08324493
All Housing Types (Own) 4-5 BR,All Values,,0.53186923,0.21167995,0.13495905,0.18523023
All Housing Types (Own) 4-5 BR,First Tercile,Below 200000,0.55985648,0.22905492,0.14281124,0.18799033
All Housing Types (Own) 4-5 BR,Second Tercile,200000 to 330000,0.51512795,0.20736283,0.12814814,0.17961698
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 330000,0.5224293,0.19994278,0.13435508,0.18813144
All Housing Types (Rent) 0-1 BR,All Values,,0.04677965,0.02953311,0.00836031,0.00888623
All Housing Types (Rent) 0-1 BR,First Tercile,Below 59000,0.04131664,0.01710317,0.01023994,0.01397354
All Housing Types (Rent) 0-1 BR,Second Tercile,59000 to 92000,0.04864158,0.03864076,0.00558629,0.00441453
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 92000,0.05029602,0.03272336,0.00925727,0.00831539
All Housing Types (Rent) 2 BR,All Values,,0.25016916,0.13557258,0.05385011,0.06074647
All Housing Types (Rent) 2 BR,First Tercile,Below 78000,0.2677734,0.14983415,0.05295665,0.0649826
All Housing Types (Rent) 2 BR,Second Tercile,78000 to 107000,0.25966536,0.15026312,0.05078284,0.0586194
All Housing Types (Rent) 2 BR,Third Tercile ,Above 107000,0.22345749,0.10702277,0.05775883,0.05867589
All Housing Types (Rent) 3 BR,All Values,,0.71093883,0.32712085,0.17929067,0.20452731
All Housing Types (Rent) 3 BR,First Tercile,Below 96000,0.7027851,0.343235,0.16242996,0.19712014
All Housing Types (Rent) 3 BR,Second Tercile,96000 to 128000,0.72859398,0.31929156,0.19312055,0.21618187
All Housing Types (Rent) 3 BR,Third Tercile ,Above 128000,0.70147949,0.31898549,0.18221355,0.20028045
All Housing Types (Rent) 4-5 BR,All Values,,1.0091956,0.42736801,0.26126937,0.32055816
All Housing Types (Rent) 4-5 BR,First Tercile,Below 105000,1.0043711,0.44128218,0.29412336,0.26896552
All Housing Types (Rent) 4-5 BR,Second Tercile,105000 to 165000,1.1345895,0.49807729,0.27302442,0.36348779
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 165000,0.88861124,0.34291206,0.21701105,0.32868813
