Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 0-1 BR",First Tercile,Below 156000,0.02342087,0.0158978,0.00454223,0.00298084," 7,045 ",0.010,0.006,0.040,72%
"5-49 Units (Own), 0-1 BR",Second Tercile,156000 to 270000,0.02425425,0.01143016,0.00236967,0.01045442," 7,174 ",0.011,0.006,0.042,75%
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 270000,0.01691933,0.01055766,0.00419599,0.00216567," 7,388 ",0.008,0.004,0.030,77%
"5-49 Units (Own), 2 BR",All Values,,0.1127768,0.04181997,0.03201627,0.03894056," 43,759 ",0.015,0.088,0.138,22%
"5-49 Units (Own), 2 BR",First Tercile,Below 209000,0.09822321,0.03245904,0.02476733,0.04099685," 13,001 ",0.021,0.063,0.133,36%
"5-49 Units (Own), 2 BR",Second Tercile,209000 to 343000,0.15550533,0.03409751,0.05695835,0.06444947," 15,485 ",0.036,0.096,0.215,38%
"5-49 Units (Own), 2 BR",Third Tercile ,Above 343000,0.08184378,0.05761802,0.01289858,0.01132718," 15,273 ",0.014,0.059,0.105,28%
"5-49 Units (Own), 3 BR",All Values,,0.31883898,0.1411544,0.06897693,0.10870765," 9,061 ",0.055,0.228,0.410,29%
"5-49 Units (Own), 3 BR",First Tercile,Below 288000,0.44909542,0.15821213,0.14047535,0.15040795," 2,819 ",0.131,0.233,0.665,48%
"5-49 Units (Own), 3 BR",Second Tercile,288000 to 471000,0.27125243,0.14438676,0.0155743,0.11129137," 3,082 ",0.076,0.146,0.397,46%
"5-49 Units (Own), 3 BR",Third Tercile ,Above 471000,0.24905063,0.12278481,0.05727848,0.06898734," 3,160 ",0.072,0.131,0.367,47%
"5-49 Units (Rent), 0-1 BR",All Values,,0.10690423,0.05932857,0.02397343,0.02360223," 207,438 ",0.005,0.098,0.115,8%
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 119000,0.09888536,0.05677664,0.02399391,0.01811481," 67,017 ",0.011,0.080,0.117,19%
"5-49 Units (Rent), 0-1 BR",Second Tercile,119000 to 154000,0.12416283,0.07226903,0.02793628,0.02395752," 70,625 ",0.011,0.107,0.142,14%
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 154000,0.09714024,0.04868474,0.01994384,0.02851166," 69,796 ",0.008,0.084,0.111,14%
"5-49 Units (Rent), 2 BR",All Values,,0.44136262,0.22432586,0.10304141,0.11399535," 147,892 ",0.016,0.415,0.468,6%
"5-49 Units (Rent), 2 BR",First Tercile,Below 142000,0.49261886,0.24885572,0.12574739,0.11801575," 48,502 ",0.033,0.438,0.547,11%
"5-49 Units (Rent), 2 BR",Second Tercile,142000 to 198000,0.49561571,0.25071734,0.1104601,0.13443827," 49,837 ",0.030,0.446,0.545,10%
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 198000,0.33662947,0.17377354,0.0733558,0.08950013," 49,553 ",0.024,0.298,0.375,12%
"5-49 Units (Rent), 3 BR",All Values,,0.94279111,0.40350308,0.24699968,0.29228836," 24,664 ",0.070,0.828,1.058,12%
"5-49 Units (Rent), 3 BR",First Tercile,Below 142000,1.0296416,0.46471537,0.24854273,0.31638348," 8,063 ",0.137,0.805,1.254,22%
"5-49 Units (Rent), 3 BR",Second Tercile,142000 to 196000,1.0553532,0.46309784,0.25236708,0.33988832," 8,238 ",0.138,0.828,1.282,22%
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 196000,0.74817649,0.28578261,0.2402248,0.22216908," 8,363 ",0.112,0.564,0.933,25%
"50+ Units (Own), 0-1 BR",All Values,,0.01254143,0.0077328,0.00136461,0.00344402," 15,389 ",0.005,0.004,0.021,69%
"50+ Units (Own), 0-1 BR",First Tercile,Below 193000,0.01085884,0.00276407,0.00276407,0.0053307," 5,065 ",0.008,-0.002,0.023,116%
"50+ Units (Own), 0-1 BR",Second Tercile,193000 to 371000,0.02065081,0.01376721,0.00146016,0.00542345," 4,794 ",0.015,-0.004,0.045,118%
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 371000,0.00705244,0.00705244,0,0," 5,530 ",0.004,0.000,0.014,105%
"50+ Units (Own), 2 BR",All Values,,0.08766797,0.05151981,0.01879308,0.01735509," 20,167 ",0.017,0.060,0.116,32%
"50+ Units (Own), 2 BR",First Tercile,Below 300000,0.0835353,0.03683955,0.01114881,0.03554694," 6,189 ",0.027,0.039,0.128,53%
"50+ Units (Own), 2 BR",Second Tercile,300000 to 508000,0.10071942,0.05197475,0.03729261,0.01145206," 6,811 ",0.035,0.043,0.158,57%
"50+ Units (Own), 2 BR",Third Tercile ,Above 508000,0.07883354,0.06376448,0.00781359,0.00725548," 7,167 ",0.024,0.039,0.119,51%
"50+ Units (Own), 3 BR",All Values,,0.35954712,0.19645043,0.11566707,0.04742962," 3,268 ",0.123,0.158,0.561,56%
