Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,118000 to 178000,3.0558751,0.21062723,0.62749932,1.205971,0.34428924,0.25089017,0.21939195,0.1235278,0.07367844
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 178000,2.5567766,0.10769231,0.33772894,0.8989011,0.43638584,0.2043956,0.30549451,0.13260073,0.13357753
"5-49 Units (Own), 0-1 BR",All Values,,1.3024691,0.0,0.00529101,0.06525573,0.39153439,0.27865961,0.10582011,0.24514991,0.21075838
"5-49 Units (Own), 0-1 BR",First Tercile,Below 150000,1.2746781,0.0,0.0,0.07725322,0.0,0.37339056,0.09012876,0.29613734,0.43776824
"5-49 Units (Own), 0-1 BR",Second Tercile,150000 to 250000,1.0606061,0.0,0.01652893,0.07713499,0.63360882,0.0661157,0.0,0.184573,0.08264463
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 250000,1.4776952,0.0,0.0,0.05204461,0.39776952,0.38104089,0.18401487,0.26394052,0.19888476
"5-49 Units (Own), 2 BR",All Values,,1.6635368,0.04486176,0.01669275,0.28794992,0.21387585,0.22326552,0.32394366,0.30307773,0.24986959
"5-49 Units (Own), 2 BR",First Tercile,Below 185000,1.5113208,0.02641509,0.0,0.42641509,0.23584906,0.06792453,0.43396226,0.23773585,0.08301887
"5-49 Units (Own), 2 BR",Second Tercile,185000 to 300000,1.7945007,0.10419682,0.0463097,0.43270622,0.12735166,0.32706223,0.35021708,0.1316932,0.27496382
"5-49 Units (Own), 2 BR",Third Tercile ,Above 300000,1.6494253,0.0,0.0,0.0387931,0.28304598,0.23850575,0.21408046,0.52298851,0.35201149
"5-49 Units (Own), 3 BR",All Values,,1.9007491,0.0,0.0,0.55243446,0.10674157,0.2247191,0.12546816,0.33895131,0.55243446
"5-49 Units (Own), 3 BR",First Tercile,Below 265000,1.494382,0.0,0.0,0.49438202,0.64044944,0.35955056,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",Second Tercile,265000 to 414000,1.2015504,0.0,0.0,0.0,0.0,0.0,0.15503876,0.19379845,0.85271318
"5-49 Units (Own), 3 BR",Third Tercile ,Above 414000,2.3006329,0.0,0.0,0.7943038,0.0,0.27848101,0.14873418,0.49367089,0.58544304
"5-49 Units (Rent), 0-1 BR",All Values,,1.1890299,0.0118638,0.01609523,0.35243406,0.10930518,0.14082335,0.21516985,0.18926721,0.15407126
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 56000,1.0538462,0.00480769,0.00516827,0.09831731,0.06286058,0.10060096,0.25588942,0.265625,0.26057692
"5-49 Units (Rent), 0-1 BR",Second Tercile,56000 to 93000,1.166115,0.00980753,0.0,0.30452372,0.10126272,0.1618242,0.26921662,0.20166728,0.11781292
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 93000,1.3379115,0.02043133,0.04131669,0.63677639,0.16061294,0.15936436,0.12667423,0.10567537,0.08706016
