Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 119000,1.0161064,0.59348739,0.21743697,0.20518207,2856.0,0.22380031,0.64795493,1.384258,0.36231589
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,912.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 66000,0.0,0.0,0.0,0.0,153.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,66000 to 84000,0.0,0.0,0.0,0.0,223.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 84000,0.0,0.0,0.0,0.0,536.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.03884965,0.01210898,0.0,0.02674067,1982.0,0.028834,-0.00858229,0.08628158,1.2209104
"5-49 Units (Own), 2 BR",First Tercile,Below 57000,0.15555556,0.04848485,0.0,0.10707071,495.0,0.11880431,-0.03987753,0.35098864,1.2563556
"5-49 Units (Own), 2 BR",Second Tercile,57000 to 126000,0.0,0.0,0.0,0.0,569.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 126000,0.0,0.0,0.0,0.0,918.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.14088398,0.02209945,0.02209945,0.09668508,362.0,0.10757532,-0.03607742,0.31784538,1.2560789
"5-49 Units (Own), 3 BR",First Tercile,Below 80000,0.0,0.0,0.0,0.0,75.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,80000 to 150000,0.46052632,0.0,0.0,0.46052632,76.0,0.54186477,-0.43084123,1.3518939,1.9355409
"5-49 Units (Own), 3 BR",Third Tercile ,Above 150000,0.07582938,0.03791469,0.03791469,0.0,211.0,0.08139649,-0.05806785,0.20972662,1.7657697
"5-49 Units (Rent), 0-1 BR",All Values,,0.04856989,0.02795149,0.01096791,0.00965049,63002.0,0.00796908,0.03546074,0.06167903,0.26990271
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 71000,0.04022682,0.01982261,0.01371589,0.00668831,20633.0,0.01080903,0.02244597,0.05800767,0.44201474
"5-49 Units (Rent), 0-1 BR",Second Tercile,71000 to 88000,0.05822113,0.03717049,0.01123649,0.00981415,21092.0,0.01565555,0.03246774,0.08397451,0.44233748
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 88000,0.04709311,0.02669549,0.00803685,0.01236077,21277.0,0.01541859,0.02172952,0.07245669,0.53858387
"5-49 Units (Rent), 2 BR",All Values,,0.35806102,0.21175454,0.06542967,0.08087681,54379.0,0.02384913,0.31882919,0.39729284,0.10956743
"5-49 Units (Rent), 2 BR",First Tercile,Below 85000,0.29771429,0.164,0.03365714,0.10005714,17500.0,0.03514654,0.23989823,0.35553035,0.19419982
"5-49 Units (Rent), 2 BR",Second Tercile,85000 to 108000,0.42885599,0.24166891,0.09711978,0.09006729,18575.0,0.05507424,0.33825886,0.51945312,0.21125303
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 108000,0.3439139,0.2270542,0.06364729,0.05321241,18304.0,0.04839502,0.26430408,0.42352371,0.23148182
"5-49 Units (Rent), 3 BR",All Values,,1.1155198,0.50075339,0.21932027,0.39544617,5973.0,0.17570561,0.82648411,1.4045556,0.25910407
"5-49 Units (Rent), 3 BR",First Tercile,Below 71000,1.0957504,0.62452932,0.06293706,0.40828402,1859.0,0.31141895,0.58346624,1.6080346,0.46751903
"5-49 Units (Rent), 3 BR",Second Tercile,71000 to 114000,0.95948617,0.42094862,0.11610672,0.42243083,2024.0,0.27778232,0.50253426,1.4164381,0.47624648
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 114000,1.2842105,0.46794258,0.45837321,0.35789474,2090.0,0.33681617,0.73014792,1.8382731,0.43144219
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,222.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 76000,0.0,0.0,0.0,0.0,36.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,76000 to 238000,0.0,0.0,0.0,0.0,55.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 238000,0.0,0.0,0.0,0.0,131.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,339.0,.,.,.,.
"50+ Units (Own), 2 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0,46.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,150000 to 324000,0.0,0.0,0.0,0.0,122.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 324000,0.0,0.0,0.0,0.0,171.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,58.0,.,.,.,.
