Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,93000 to 129000,2.1643193,0.15908717,0.32895127,0.7436737,0.30096416,0.23123499,0.1988384,0.12390997,0.07765968,60778.0,0.08858586,2.0185956,2.3100431,0.06733005
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 129000,2.1203115,0.15180899,0.27114085,0.7899115,0.27057632,0.21885533,0.18910123,0.12399754,0.10491972,60227.0,0.09002803,1.9722154,2.2684076,0.06984639
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8559542,0.23814831,0.64422837,0.95134418,0.34170526,0.25377121,0.19629509,0.15920752,0.07125425,52039.0,0.11441498,2.6677415,3.0441668,0.06590184
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 95000,2.6119656,0.21451547,0.64407275,0.73975086,0.28527984,0.27270601,0.19615182,0.17024387,0.08924499,17099.0,0.17862499,2.3181275,2.9058037,0.11249693
"2-4 Units (Own/Rent), 3 BR",Second Tercile,95000 to 140000,3.1630573,0.34166571,0.81338555,1.0203318,0.38912568,0.23914296,0.19796106,0.11398456,0.04745997,17362.0,0.20439867,2.8268214,3.4992931,0.1063009
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 140000,2.7899647,0.1588918,0.47730117,1.0890317,0.34975538,0.24980089,0.19478894,0.19313915,0.07725566,17578.0,0.18938729,2.4784226,3.1015068,0.11166524
"5-49 Units (Own), 0-1 BR",All Values,,1.2999853,0.02971899,0.01029866,0.25011034,0.17154627,0.22333382,0.20700309,0.17184052,0.23613359,6797.0,0.15647736,1.04258,1.5573905,0.19800628
"5-49 Units (Own), 0-1 BR",First Tercile,Below 118000,1.3630106,0.07480496,0.0087196,0.22120239,0.16659018,0.1441028,0.2391005,0.21569527,0.29279486,2179.0,0.23946613,0.96908877,1.7569323,0.28900861
"5-49 Units (Own), 0-1 BR",Second Tercile,118000 to 221000,1.3161435,0.01748879,0.02286996,0.19282511,0.19730942,0.23721973,0.24798206,0.16681614,0.23363229,2230.0,0.25111903,0.9030527,1.7292343,0.31386456
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 221000,1.2273869,0.0,0.0,0.32998325,0.15201005,0.28266332,0.13944724,0.13651591,0.18676717,2388.0,0.24252508,0.82843318,1.6263407,0.32504318
"5-49 Units (Own), 2 BR",All Values,,1.542517,0.01780045,0.0595805,0.20311791,0.13968254,0.14631519,0.22414966,0.38219955,0.3696712,17640.0,0.10487459,1.3699983,1.7150357,0.11184233
"5-49 Units (Own), 2 BR",First Tercile,Below 155000,1.496636,0.02036119,0.0717068,0.23300283,0.14465297,0.15740085,0.23441926,0.35304533,0.28204674,5648.0,0.16184884,1.2303946,1.7628773,0.17789319
"5-49 Units (Own), 2 BR",Second Tercile,155000 to 264000,1.5118057,0.01647698,0.06030236,0.14574486,0.13487345,0.12892815,0.21029387,0.37727196,0.43791405,5887.0,0.17955608,1.2164359,1.8071754,0.19537548
"5-49 Units (Own), 2 BR",Third Tercile ,Above 264000,1.6145782,0.01670762,0.04766585,0.23079443,0.13972154,0.15282555,0.22800983,0.41392301,0.38493038,6105.0,0.17765851,1.32233,1.9068265,0.18100594
"5-49 Units (Own), 3 BR",All Values,,2.0407064,0.19814427,0.18587249,0.2092188,0.27297216,0.20323257,0.21221191,0.35947321,0.39958096,3341.0,0.30060535,1.5462106,2.5352022,0.242316
"5-49 Units (Own), 3 BR",First Tercile,Below 194000,1.8277609,0.18844985,0.06585613,0.30901722,0.11347518,0.08206687,0.23708207,0.45694022,0.37487335,987.0,0.50622311,0.99502388,2.6604979,0.45560501
"5-49 Units (Own), 3 BR",Second Tercile,194000 to 400000,2.3504117,0.10795974,0.36322049,0.25800549,0.30832571,0.31655993,0.35590119,0.21225984,0.42817932,1093.0,0.65609681,1.2711325,3.429691,0.45918732
"5-49 Units (Own), 3 BR",Third Tercile ,Above 400000,1.9389374,0.28390167,0.1260904,0.0888184,0.36716891,0.1998414,0.06819984,0.41078509,0.39413164,1261.0,0.46255348,1.1780369,2.6998378,0.39243169
"5-49 Units (Rent), 0-1 BR",All Values,,1.2884502,0.03590549,0.02769054,0.49260755,0.14176262,0.13752056,0.1655401,0.13659339,0.15082997,200610.0,0.03025784,1.2386761,1.3382244,0.03863102
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 81000,1.1689633,0.02353944,0.02420939,0.20366338,0.09890829,0.1441296,0.24393623,0.21782359,0.21275332,65677.0,0.03962894,1.1037736,1.2341529,0.05576703
"5-49 Units (Rent), 0-1 BR",Second Tercile,81000 to 117000,1.3194073,0.03965281,0.0311664,0.54958088,0.15981511,0.16636942,0.15601034,0.11616432,0.100648,67284.0,0.05398354,1.2306044,1.4082102,0.06730516
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 117000,1.3736641,0.04418395,0.02761312,0.71646292,0.16541264,0.10241097,0.0989076,0.07804993,0.14062292,67649.0,0.04944004,1.2923352,1.4549929,0.05920579
