Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.49223983,0.25886876,0.1111353,0.12223577
"5-49 Units (Rent), 2 BR",First Tercile,Below 115000,0.55494835,0.2988526,0.12600542,0.13009033
"5-49 Units (Rent), 2 BR",Second Tercile,115000 to 151000,0.56918031,0.29888323,0.12993061,0.14036648
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 151000,0.35371945,0.17957348,0.07773852,0.09640745
"5-49 Units (Rent), 3 BR",All Values,,1.1793771,0.52591091,0.29855268,0.35491356
"5-49 Units (Rent), 3 BR",First Tercile,Below 124000,1.3312264,0.59495019,0.34726898,0.38900721
"5-49 Units (Rent), 3 BR",Second Tercile,124000 to 171000,1.2974594,0.60128704,0.3358359,0.36033651
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 171000,0.91316733,0.38318979,0.21374711,0.31623044
"50+ Units (Own), 0-1 BR",All Values,,0.01733972,0.01323295,0.0,0.00410678
"50+ Units (Own), 0-1 BR",First Tercile,Below 157000,0.01831631,0.01831631,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,157000 to 290000,0.02313712,0.01088806,0.0,0.01224906
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 290000,0.0107095,0.0107095,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.05805989,0.01887544,0.0110704,0.02811405
"50+ Units (Own), 2 BR",First Tercile,Below 200000,0.14204264,0.03668815,0.02429351,0.08106098
"50+ Units (Own), 2 BR",Second Tercile,200000 to 400000,0.03106474,0.01802229,0.00687693,0.00616552
"50+ Units (Own), 2 BR",Third Tercile ,Above 400000,0.0058072,0.00301974,0.00278746,0.0
"50+ Units (Own), 3 BR",All Values,,0.14220665,0.07110333,0.02942207,0.04168126
"50+ Units (Own), 3 BR",First Tercile,Below 371000,0.3972912,0.18848758,0.09480813,0.11399549
"50+ Units (Own), 3 BR",Second Tercile,371000 to 640000,0.0630105,0.042007,0.0,0.0210035
"50+ Units (Own), 3 BR",Third Tercile ,Above 640000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.04288833,0.02397341,0.00812012,0.01079481
"50+ Units (Rent), 0-1 BR",First Tercile,Below 110000,0.07153228,0.04210428,0.01564795,0.01378005
"50+ Units (Rent), 0-1 BR",Second Tercile,110000 to 154000,0.04395343,0.02427621,0.00536266,0.01431456
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 154000,0.01334144,0.00564056,0.00337758,0.0043233
"50+ Units (Rent), 2 BR",All Values,,0.32610155,0.16785875,0.0669257,0.0913171
"50+ Units (Rent), 2 BR",First Tercile,Below 129000,0.44997611,0.21826724,0.08552317,0.1461857
"50+ Units (Rent), 2 BR",Second Tercile,129000 to 189000,0.38031839,0.20274221,0.08422039,0.09335579
"50+ Units (Rent), 2 BR",Third Tercile ,Above 189000,0.14968549,0.08334778,0.03135592,0.03498179
"50+ Units (Rent), 3 BR",All Values,,1.001972,0.44792737,0.24308779,0.31095682
"50+ Units (Rent), 3 BR",First Tercile,Below 131000,1.1536926,0.50985529,0.25586327,0.38797405
"50+ Units (Rent), 3 BR",Second Tercile,131000 to 184000,1.1880257,0.58448788,0.26001979,0.34351806
"50+ Units (Rent), 3 BR",Third Tercile ,Above 184000,0.67188448,0.25373134,0.21405169,0.20410144
All Housing Types (Own) 0-1 BR,All Values,,0.21412589,0.09181211,0.060977,0.06133677
All Housing Types (Own) 0-1 BR,First Tercile,Below 85000,0.18400193,0.08055273,0.05406781,0.04938139
All Housing Types (Own) 0-1 BR,Second Tercile,85000 to 188000,0.25515525,0.09598433,0.07268973,0.08648119
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 188000,0.20318212,0.09857886,0.05622779,0.04837547
All Housing Types (Own) 2 BR,All Values,,0.19924326,0.08541233,0.04905177,0.06477915
All Housing Types (Own) 2 BR,First Tercile,Below 89000,0.25698903,0.11044297,0.06423425,0.08231181
All Housing Types (Own) 2 BR,Second Tercile,89000 to 191000,0.21029493,0.09112385,0.04999704,0.06917404
All Housing Types (Own) 2 BR,Third Tercile ,Above 191000,0.13299975,0.05578373,0.03358163,0.04363439
All Housing Types (Own) 3 BR,All Values,,0.38863167,0.16420127,0.09560133,0.12882908
All Housing Types (Own) 3 BR,First Tercile,Below 150000,0.46607394,0.18849502,0.11760553,0.15997338
All Housing Types (Own) 3 BR,Second Tercile,150000 to 249000,0.40987221,0.17786038,0.1009027,0.13110913
All Housing Types (Own) 3 BR,Third Tercile ,Above 249000,0.29686717,0.12848399,0.07025464,0.09812854
All Housing Types (Own) 4-5 BR,All Values,,0.67741388,0.27476837,0.1702631,0.23238241
All Housing Types (Own) 4-5 BR,First Tercile,Below 241000,0.73756659,0.28896147,0.18141896,0.26718616
All Housing Types (Own) 4-5 BR,Second Tercile,241000 to 390000,0.64419245,0.26948241,0.15906347,0.21564657
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 390000,0.65473398,0.26695869,0.17090912,0.21686617
All Housing Types (Rent) 0-1 BR,All Values,,0.08167527,0.04707862,0.01555607,0.01904058
All Housing Types (Rent) 0-1 BR,First Tercile,Below 95000,0.08998312,0.05158339,0.01690329,0.02149644
All Housing Types (Rent) 0-1 BR,Second Tercile,95000 to 127000,0.10075646,0.05594857,0.02041437,0.02439352
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 127000,0.05448555,0.0338043,0.00939204,0.01128921
All Housing Types (Rent) 2 BR,All Values,,0.45566279,0.23683044,0.10371082,0.11512153
All Housing Types (Rent) 2 BR,First Tercile,Below 109000,0.48308163,0.26064208,0.10817416,0.1142654
All Housing Types (Rent) 2 BR,Second Tercile,109000 to 147000,0.5506802,0.27953031,0.12928247,0.14186741
All Housing Types (Rent) 2 BR,Third Tercile ,Above 147000,0.33311796,0.17042977,0.0736061,0.08908209
All Housing Types (Rent) 3 BR,All Values,,0.8460512,0.39129754,0.20600239,0.24875127
All Housing Types (Rent) 3 BR,First Tercile,Below 128000,0.93789805,0.44355708,0.22940602,0.26493495
All Housing Types (Rent) 3 BR,Second Tercile,128000 to 181000,0.90640256,0.41243802,0.21775152,0.27621303
All Housing Types (Rent) 3 BR,Third Tercile ,Above 181000,0.69475813,0.31843001,0.1710851,0.20524302
All Housing Types (Rent) 4-5 BR,All Values,,1.1034941,0.46733258,0.28702449,0.34913705
All Housing Types (Rent) 4-5 BR,First Tercile,Below 162000,1.1587275,0.50262233,0.29841132,0.35769387
All Housing Types (Rent) 4-5 BR,Second Tercile,162000 to 231000,1.1291103,0.47771811,0.29315128,0.35824086
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 231000,1.0231184,0.42192641,0.2696133,0.33157868
