Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 120000,1.4731112,0.04590766,0.06440189,0.6383788,0.20868311,0.23019412,0.14572403,0.08866737,0.05115425,7624.0,0.14601479,1.2329169,1.7133055,0.1630524
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.3564748,0.15548077,0.39400462,0.69228662,0.327848,0.30606974,0.24085235,0.16495128,0.07498141,51106.0,0.0924307,2.2044263,2.5085233,0.06452371
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 107000,2.4177893,0.14060621,0.49200144,0.631465,0.32216743,0.3610777,0.24609093,0.15888862,0.06549194,16628.0,0.20034409,2.0882232,2.7473553,0.13630883
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,107000 to 140000,2.4642941,0.20691875,0.44486069,0.80396863,0.32422149,0.27985249,0.21991337,0.13392648,0.05063217,17084.0,0.16263988,2.1967515,2.7318367,0.10856764
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 140000,2.1919627,0.11917903,0.25037369,0.64073819,0.33684029,0.27923422,0.25641026,0.20121881,0.10796826,17394.0,0.15188623,1.9421099,2.4418156,0.1139859
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1737513,0.25965285,0.73494509,0.83032235,0.48335104,0.29897272,0.2837407,0.16834927,0.11441729,11292.0,0.26691013,2.7346842,3.6128185,0.13834328
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 134000,3.3015393,0.25590984,0.90076965,0.95437053,0.38730071,0.39967015,0.22100055,0.06597031,0.11654755,3638.0,0.61129904,2.2959524,4.3071262,0.30458124
"2-4 Units (Own/Rent), 3 BR",Second Tercile,134000 to 180000,3.2301756,0.33661522,0.6852049,0.92416179,0.51969133,0.22937733,0.29084619,0.1836083,0.06067057,3758.0,0.44968028,2.4904516,3.9698997,0.22900429
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 180000,3.0,0.1889117,0.62808008,0.62397331,0.53798768,0.27207392,0.33547228,0.24922998,0.16427105,3896.0,0.43212546,2.2891536,3.7108464,0.23694879
"5-49 Units (Own), 0-1 BR",All Values,,1.4178762,0.02788388,0.0210084,0.29984721,0.18601986,0.22727273,0.3342246,0.17647059,0.14514897,2618.0,0.23879503,1.0250584,1.8106941,0.27704663
"5-49 Units (Own), 0-1 BR",First Tercile,Below 126000,1.3232877,0.00410959,0.02465753,0.15068493,0.14520548,0.12054795,0.49041096,0.16986301,0.21780822,730.0,0.32909329,0.78192921,1.8646461,0.40910111
"5-49 Units (Own), 0-1 BR",Second Tercile,126000 to 201000,1.3405276,0.01199041,0.02877698,0.32613909,0.19904077,0.12829736,0.2853717,0.27338129,0.08752998,834.0,0.34327626,0.77583814,1.905217,0.42124418
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 201000,1.544592,0.056926,0.01233397,0.38235294,0.20398482,0.37950664,0.26470588,0.10436433,0.14041746,1054.0,0.47906561,0.75652911,2.332655,0.51020781
"5-49 Units (Own), 2 BR",All Values,,1.7339698,0.03155779,0.07115578,0.24944724,0.14884422,0.25015075,0.37628141,0.3438191,0.26271357,9950.0,0.16023111,1.4703897,1.99755,0.15200967
"5-49 Units (Own), 2 BR",First Tercile,Below 150000,1.6713073,0.02105263,0.04482173,0.25602716,0.14091681,0.23327674,0.39864177,0.29439728,0.28217317,2945.0,0.22612732,1.2993279,2.0432867,0.22256795
"5-49 Units (Own), 2 BR",Second Tercile,150000 to 228000,1.6744387,0.03367876,0.04864709,0.28267127,0.14104778,0.18537709,0.3681635,0.32354634,0.29130685,3474.0,0.27933138,1.2149386,2.1339388,0.2744204
"5-49 Units (Own), 2 BR",Third Tercile ,Above 228000,1.8448032,0.0382328,0.1152648,0.21127159,0.16312659,0.32795242,0.3656188,0.40498442,0.21835174,3531.0,0.30960574,1.3355017,2.3541046,0.27607359
"5-49 Units (Own), 3 BR",All Values,,2.2463768,0.04738016,0.09921962,0.39464883,0.15551839,0.38238573,0.40523969,0.54793757,0.21404682,1794.0,0.44245176,1.5185437,2.9742099,0.32400314
"5-49 Units (Own), 3 BR",First Tercile,Below 177000,2.3372093,0.0,0.21511628,0.23837209,0.14922481,0.34302326,0.60271318,0.62984496,0.15891473,516.0,0.71067216,1.1681536,3.506265,0.50019299
"5-49 Units (Own), 3 BR",Second Tercile,177000 to 318000,2.3657658,0.08828829,0.09009009,0.54414414,0.21441441,0.5045045,0.32972973,0.31711712,0.27747748,555.0,0.81585675,1.0236814,3.7078501,0.56729384
"5-49 Units (Own), 3 BR",Third Tercile ,Above 318000,2.0899032,0.04979253,0.02351314,0.39142462,0.11479945,0.31673582,0.32226833,0.66666667,0.20470263,723.0,0.66797395,0.99108603,3.1887203,0.52577419
"5-49 Units (Rent), 0-1 BR",All Values,,1.4737703,0.07102546,0.07993972,0.51678638,0.21426281,0.1769544,0.19721991,0.14407106,0.07351055,62372.0,0.04541171,1.399068,1.5484725,0.05068786
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 92000,1.4108554,0.07569959,0.08757891,0.32914161,0.18917441,0.15935186,0.25269646,0.20706795,0.11014464,20119.0,0.09739864,1.2506346,1.5710762,0.11356285
"5-49 Units (Rent), 0-1 BR",Second Tercile,92000 to 121000,1.5290111,0.0978468,0.09203506,0.51014672,0.23304116,0.21603468,0.21584413,0.11666349,0.04739901,20992.0,0.09574798,1.3715056,1.6865165,0.10301131
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 121000,1.4787639,0.04012041,0.06076854,0.70090777,0.21946287,0.15502563,0.1263346,0.11151874,0.06462537,21261.0,0.08297263,1.342274,1.6152539,0.09230004
