Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.28912777,0.15265682,0.06415204,0.07231891
"5-49 Units (Rent), 2 BR",First Tercile,Below 101000,0.32420837,0.16236398,0.07740384,0.08444055
"5-49 Units (Rent), 2 BR",Second Tercile,101000 to 137000,0.34753192,0.19220372,0.07464715,0.08068105
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 137000,0.19764644,0.10451026,0.04088834,0.05224784
"5-49 Units (Rent), 3 BR",All Values,,0.78665756,0.39027778,0.20013661,0.19624317
"5-49 Units (Rent), 3 BR",First Tercile,Below 120000,1.0308905,0.56362876,0.24049927,0.22676243
"5-49 Units (Rent), 3 BR",Second Tercile,120000 to 161000,0.7405954,0.38071719,0.18829499,0.17158322
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 161000,0.59598622,0.23183999,0.17284952,0.19129671
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 209000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,209000 to 302000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 302000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0178117,0.0,0.0,0.0178117
"50+ Units (Own), 2 BR",First Tercile,Below 262000,0.00852619,0.0,0.0,0.00852619
"50+ Units (Own), 2 BR",Second Tercile,262000 to 378000,0.02590194,0.0,0.0,0.02590194
"50+ Units (Own), 2 BR",Third Tercile ,Above 378000,0.01690821,0.0,0.0,0.01690821
"50+ Units (Own), 3 BR",All Values,,0.15885417,0.0,0.0,0.15885417
"50+ Units (Own), 3 BR",First Tercile,Below 345000,0.45192308,0.0,0.0,0.45192308
"50+ Units (Own), 3 BR",Second Tercile,345000 to 609000,0.05128205,0.0,0.0,0.05128205
"50+ Units (Own), 3 BR",Third Tercile ,Above 609000,0.04907975,0.0,0.0,0.04907975
"50+ Units (Rent), 0-1 BR",All Values,,0.0073896,0.0054884,0.00034078,0.00156043
"50+ Units (Rent), 0-1 BR",First Tercile,Below 102000,0.00567537,0.00281066,0.00102697,0.00183774
"50+ Units (Rent), 0-1 BR",Second Tercile,102000 to 158000,0.0109825,0.00812921,0.0,0.0028533
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 158000,0.00551451,0.00551451,0.0,0.0
"50+ Units (Rent), 2 BR",All Values,,0.12439622,0.08095789,0.01904891,0.02438941
"50+ Units (Rent), 2 BR",First Tercile,Below 132000,0.16424822,0.0969435,0.03252033,0.0347844
"50+ Units (Rent), 2 BR",Second Tercile,132000 to 190000,0.11697575,0.08304463,0.01273691,0.02119421
"50+ Units (Rent), 2 BR",Third Tercile ,Above 190000,0.09253066,0.06313976,0.0120604,0.0173305
"50+ Units (Rent), 3 BR",All Values,,0.57705396,0.34710744,0.11959164,0.11035489
"50+ Units (Rent), 3 BR",First Tercile,Below 136000,0.82821119,0.42001576,0.17966903,0.2285264
"50+ Units (Rent), 3 BR",Second Tercile,136000 to 208000,0.59867938,0.28466618,0.19369039,0.12032282
"50+ Units (Rent), 3 BR",Third Tercile ,Above 208000,0.34210526,0.34210526,0.0,0.0
All Housing Types (Own) 0-1 BR,All Values,,0.10051817,0.04775881,0.0320687,0.02069065
All Housing Types (Own) 0-1 BR,First Tercile,Below 100000,0.0761206,0.04516795,0.01776912,0.01318354
All Housing Types (Own) 0-1 BR,Second Tercile,100000 to 200000,0.10998804,0.04521248,0.04803826,0.01673731
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 200000,0.11351184,0.05251732,0.0297736,0.03122092
All Housing Types (Own) 2 BR,All Values,,0.09940137,0.04123394,0.02260506,0.03556237
All Housing Types (Own) 2 BR,First Tercile,Below 108000,0.12588506,0.04960531,0.02683087,0.04944889
