Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 0-1 BR,    Below Median,502000,0.07717107,0.03757808,0.02196252,0.01763047
All Housing Types (Own) 0-1 BR,    Above Median,502000,0.13146975,0.06540729,0.0280629,0.03799956
All Housing Types (Own) 2 BR,All Values,,0.20209893,0.11792577,0.04214831,0.04202485
All Housing Types (Own) 2 BR,    Below Median,415000,0.13531009,0.06655132,0.03478209,0.03397667
All Housing Types (Own) 2 BR,    Above Median,415000,0.27369532,0.17299821,0.05004477,0.05065234
All Housing Types (Own) 3 BR,All Values,,0.52150403,0.24286995,0.12330106,0.15533303
All Housing Types (Own) 3 BR,    Below Median,350000,0.49773101,0.23494381,0.10475986,0.15802734
All Housing Types (Own) 3 BR,    Above Median,350000,0.54656726,0.25122625,0.14284852,0.15249249
All Housing Types (Own) 4-5 BR,All Values,,1.0562801,0.45583544,0.26709476,0.33334986
All Housing Types (Own) 4-5 BR,    Below Median,486000,1.0246323,0.42920849,0.25566348,0.33976033
All Housing Types (Own) 4-5 BR,    Above Median,486000,1.0891717,0.48350889,0.27897531,0.32668745
All Housing Types (Rent) 0-1 BR,All Values,,0.08019159,0.04412352,0.0163286,0.01973947
All Housing Types (Rent) 0-1 BR,    Below Median,173000,0.09601809,0.05415449,0.02062513,0.02123847
All Housing Types (Rent) 0-1 BR,    Above Median,173000,0.06418257,0.03397686,0.01198253,0.01822318
All Housing Types (Rent) 2 BR,All Values,,0.36923358,0.18532033,0.08619717,0.09771609
All Housing Types (Rent) 2 BR,    Below Median,191000,0.44096427,0.21498824,0.10269485,0.12328118
All Housing Types (Rent) 2 BR,    Above Median,191000,0.29647718,0.15522818,0.06946357,0.07178543
All Housing Types (Rent) 3 BR,All Values,,0.94845382,0.46172303,0.21274175,0.27398904
All Housing Types (Rent) 3 BR,    Below Median,219000,1.0543293,0.5046255,0.2464903,0.3032135
All Housing Types (Rent) 3 BR,    Above Median,219000,0.83834761,0.41710621,0.17764463,0.24359678
All Housing Types (Rent) 4-5 BR,All Values,,2.159896,1.0373561,0.50285926,0.61968065
All Housing Types (Rent) 4-5 BR,    Below Median,204000,2.1206169,0.99257966,0.50152772,0.62650953
All Housing Types (Rent) 4-5 BR,    Above Median,204000,2.2008495,1.0840413,0.50424757,0.61256068
